recv_ts,rank,code,name,holdings,nav_source,priced_components,nav,fair_value,ask1,bid1,micro,spread_bps,etf_obi,current_basis_bps,expected_basis_bps,buy_gap_bps,sell_gap_bps,decision,position_action,entry_price,exit_price,pnl_bps,hold_sec,reason,estimate_method
2026-06-24T13:42:54.056,42,466920,SOL 조선TOP3플러스,13,LOCAL_COMPONENT_MICRO_L1,13,32802.98438469728,32788.80185101878,32800.0,32770.0,32777.24474474474,9.150526155253926,-0.26306532663316584,-5.4825452728227,-4.323549806375173,-3.415235796689841,-5.734229358002254,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:42:56.568,43,0210A0,ACE K반도체TOP2+,10,LOCAL_COMPONENT_MICRO_L1,10,9883.995713422048,9880.228788759296,9875.0,9870.0,9871.39520494973,5.064573309698657,-0.38196057915711407,-11.630633759216362,-3.8111354678522815,5.292173765494596,-10.352785323081688,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:43:03.409,48,0117V0,TIGER 코리아AI전력기기TOP3플러스,10,LOCAL_COMPONENT_MICRO_L1,10,21532.751237166267,21539.570584705136,21465.0,21445.0,21464.993656834762,9.321836401771149,0.9939193654990086,-36.10836177407077,3.1669652724627064,34.62027453698965,-43.90551071258994,BUY,HOLD_POSITION,21355.0,,42.1446967923203,107.21899999998277,fair_value_above_executable_ask,unrounded_raw_creation_unit_regression
2026-06-24T13:43:10.327,50,462330,KODEX 2차전지산업레버리지,26,LOCAL_COMPONENT_MICRO_L1,26,1250.8895313048054,1250.1389975860225,1263.0,1261.0,1262.9900662251655,15.847860538827259,-0.24048390947104167,88.82054263900737,-6.0,-102.87657963483824,86.87835860612115,HOLD,WAIT,,,,,spread_too_wide,"rounded_to_common_creation_unit_calibration_failed: raw_unit must be positive, got -8417.074255638132"
2026-06-24T13:43:43.295,10,0167A0,SOL AI반도체TOP2플러스,10,LOCAL_COMPONENT_MICRO_L1,10,25364.21710011759,25348.99856985752,25355.0,25350.0,25351.428571428572,1.972192091509713,-0.9788252356780276,-4.619539436734318,-6.0,-2.367521591017798,0.3950570827174589,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:43:46.061,13,396500,TIGER 반도체TOP10,10,LOCAL_COMPONENT_MICRO_L1,10,49249.78196750211,49220.232098321605,49405.0,49370.0,49372.13507625272,7.086813464945584,-0.8786565547128927,27.963176078376396,-6.0,-37.539014710313715,30.428117725901995,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:43:50.519,14,395160,KODEX AI반도체TOP2플러스,15,LOCAL_COMPONENT_MICRO_L1,15,55475.399748548,55442.11450869887,55595.0,55555.0,55583.57142857143,7.197480881691408,-0.7348284960422163,17.95394930067312,-6.0,-27.57569631965304,20.360964278052425,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:43:55.903,16,395270,HANARO Fn K-반도체,20,LOCAL_COMPONENT_MICRO_L1,20,78161.97639878783,78115.07921294855,78200.0,78130.0,78138.77030162413,8.955414827608264,-0.7990953315695144,0.3868378656072305,-6.0,-10.87124123883297,1.9101032991051154,HOLD,WAIT,,,,,edge_below_threshold,rounded_to_common_creation_unit_regression
2026-06-24T13:44:00.029,17,139260,TIGER 200 IT,16,LOCAL_COMPONENT_MICRO_L1,16,185925.64550467685,185814.09011737403,186025.0,185825.0,185825.39739884392,10.757025682398815,-0.9464396284829721,-0.03471843139773148,-6.0,-11.350586088102682,0.5871396845675638,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:44:02.861,22,488080,TIGER 반도체TOP10레버리지,11,LOCAL_COMPONENT_MICRO_L1,11,78703.00518115736,78655.78337804867,78320.0,78000.0,78148.77192982456,40.941658137154555,-0.10483870967741936,-68.99421183568326,-6.0,42.6902337790942,-83.37382832953712,HOLD,EXIT_LOSS,78120.0,78000.0,-15.360983102918587,108.31199999997625,loss_stop_-15.36bps,unrounded_raw_creation_unit_regression
2026-06-24T13:44:09.339,26,469150,ACE AI반도체TOP3+,20,LOCAL_COMPONENT_MICRO_L1,20,74819.0043284464,74774.11292584933,74865.0,74750.0,74758.07717732606,15.372790161414297,-0.8819570511401372,-1.5376211631876213,-6.0,-12.154884972129084,-3.2247692290569807,HOLD,WAIT,,,,,spread_too_wide,rounded_to_common_creation_unit_regression
2026-06-24T13:44:11.772,31,292150,TIGER 코리아TOP10,10,LOCAL_COMPONENT_MICRO_L1,10,46844.88127461388,46816.77434584911,46825.0,46775.0,46776.237623762376,10.683760683760685,-0.7105559306774701,-9.580827913892318,-6.0,-1.7569886575536326,-8.922944058578299,HOLD,HOLD_POSITION,46690.0,,18.205183122724353,229.06199999997625,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:44:14.745,32,487240,KODEX AI전력핵심설비,12,LOCAL_COMPONENT_MICRO_L1,12,40712.841000880915,40727.786720361284,40695.0,40665.0,40673.82352941176,7.374631268436578,0.9805663520266519,-8.066496975783267,3.671008731628938,8.050209206407192,-15.416187673634315,BUY,HOLD_POSITION,40450.0,,53.152039555006176,343.875,fair_value_above_executable_ask,unrounded_raw_creation_unit_regression
2026-06-24T13:44:21.485,35,243880,TIGER 200IT레버리지,17,LOCAL_COMPONENT_MICRO_L1,17,769576.7175118148,769114.9714813076,769840.0,768770.0,768827.8378378379,13.908657814520899,-0.976006855184233,-3.530739764234287,-6.0,-9.426789824360847,-4.485304461610348,HOLD,WAIT,,,,,spread_too_wide,unrounded_raw_creation_unit_regression
2026-06-24T13:44:40.046,41,367760,RISE 네트워크인프라,23,LOCAL_COMPONENT_MICRO_L1,23,78483.63643836055,78436.54625649753,78465.0,78380.0,78413.73587570622,10.838726130893559,-0.722048066875653,-7.789705107327625,-6.0,-3.6276130019061767,-7.20917215204988,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:44:43.516,42,466920,SOL 조선TOP3플러스,13,LOCAL_COMPONENT_MICRO_L1,13,32824.93595889703,32816.22140890763,32820.0,32790.0,32799.60339943343,9.144947416552354,0.014771260576509394,-6.073418976962023,-2.6548566615066496,-1.1514400287854818,-7.990380300308472,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:44:46.088,43,0210A0,ACE K반도체TOP2+,10,LOCAL_COMPONENT_MICRO_L1,10,9860.860722675896,9854.94420624229,9855.0,9840.0,9845.011707629332,15.232292460015232,-0.5037067442843993,-13.549245904236084,-6.0,-0.05661499095565526,-15.164171333231492,HOLD,WAIT,,,,,spread_too_wide,unrounded_raw_creation_unit_regression
2026-06-24T13:44:50.038,44,0148J0,TIGER 코리아휴머노이드로봇산업,15,LOCAL_COMPONENT_MICRO_L1,15,10381.175543199359,10375.958762340895,10380.0,10370.0,10370.022962112515,9.638554216867469,-0.3556108442004118,-5.9487898780445505,-5.025231330262711,-3.894808905536817,-5.7428546868577275,HOLD,WAIT,,,,,edge_below_threshold,rounded_to_common_creation_unit_regression
2026-06-24T13:44:52.768,48,0117V0,TIGER 코리아AI전력기기TOP3플러스,10,LOCAL_COMPONENT_MICRO_L1,10,21478.777046320418,21465.889780092624,21420.0,21405.0,21405.227135069654,7.005253940455342,-0.6550155815716331,-30.85699254547267,-6.0,21.378000428932726,-28.36583096084524,BUY,HOLD_POSITION,21355.0,,23.413720440177947,216.5779999999795,fair_value_above_executable_ask,unrounded_raw_creation_unit_regression
2026-06-24T13:45:00.350,50,462330,KODEX 2차전지산업레버리지,26,LOCAL_COMPONENT_MICRO_L1,26,1250.2951127503327,1249.5449356826825,1262.0,1260.0,1260.0310612597066,15.860428231562253,-0.8816794620235079,85.61888421781691,-6.0,-99.67680202323179,83.67097507866248,HOLD,WAIT,,,,,spread_too_wide,"rounded_to_common_creation_unit_calibration_failed: raw_unit must be positive, got -8417.074255638132"
2026-06-24T13:45:33.145,10,0167A0,SOL AI반도체TOP2플러스,10,LOCAL_COMPONENT_MICRO_L1,10,25363.881522240557,25369.08203970232,25340.0,25335.0,25339.463509749305,1.973359644795264,0.44039521729791653,-10.401216476833211,2.0503634103489197,11.463575882172966,-13.434478886142546,BUY,ENTER_BUY,25340.0,,,,paper_entry_on_buy_signal,unrounded_raw_creation_unit_regression
2026-06-24T13:45:35.584,13,396500,TIGER 반도체TOP10,10,LOCAL_COMPONENT_MICRO_L1,10,49194.33184537953,49167.95023145564,49350.0,49325.0,49325.40443379269,5.067139599695972,-0.6404320987654321,29.102571221102504,-5.362734472501384,-37.026104949946536,31.94149192818871,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:45:39.445,14,395160,KODEX AI반도체TOP2플러스,15,LOCAL_COMPONENT_MICRO_L1,15,55464.13075477379,55472.31665660038,55505.0,55495.0,55495.0390625,1.8018018018018018,0.3360719440435217,6.467106711687525,1.4758911237205898,-5.891829541201041,4.089128553985257,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:45:48.976,17,139260,TIGER 200 IT,16,LOCAL_COMPONENT_MICRO_L1,16,185745.91534486183,185634.4677956549,185855.0,185700.0,185829.16666666666,8.343313910457402,-0.9296311996608733,1.700422595001785,-6.0,-11.879916858320826,3.530174386431235,HOLD,WAIT,,,,,edge_below_threshold,unrounded_raw_creation_unit_regression
2026-06-24T13:45:51.718,22,488080,TIGER 반도체TOP10레버리지,11,LOCAL_COMPONENT_MICRO_L1,11,78684.90219149065,78637.69125017575,78200.0,77970.0,78042.63157894737,29.455081001472752,-0.5857740585774058,-76.24107990001724,-6.0,55.6592192900588,-84.90728040979391,HOLD,WAIT,,,,,spread_too_wide,unrounded_raw_creation_unit_regression
2026-06-24T13:45:56.832,26,469150,ACE AI반도체TOP3+,20,LOCAL_COMPONENT_MICRO_L1,20,74836.17135954104,74791.26965672532,74845.0,74775.0,74780.72727272728,9.357037829167224,-0.8906122448979592,-3.497153724674545,-6.0,-7.18403946360247,-2.1753416942898705,HOLD,WAIT,,,,,edge_below_threshold,rounded_to_common_creation_unit_regression
2026-06-24T13:45:59.311,31,292150,TIGER 코리아TOP10,10,LOCAL_COMPONENT_MICRO_L1,10,46886.51334104099,46871.94628066351,46870.0,46805.0,46835.0042662116,13.877768881772084,0.17607570365577482,-10.453611827452335,-3.1068764425969766,0.41523359236221774,-14.282803675923054,HOLD,HOLD_POSITION,46690.0,,24.63054187192118,336.60899999999674,spread_too_wide,unrounded_raw_creation_unit_regression
2026-06-24T13:46:02.516,32,487240,KODEX AI전력핵심설비,12,LOCAL_COMPONENT_MICRO_L1,12,40691.527403359345,40673.71266615956,40710.0,40660.0,40676.76445934619,12.289541600098316,-0.11518903382710591,-1.604118541592559,-4.37799668299213,-8.921569107368402,-3.37138295491036,HOLD,HOLD_POSITION,40450.0,,51.9159456118665,451.65600000001723,spread_too_wide,unrounded_raw_creation_unit_regression
2026-06-24T13:46:09.641,35,243880,TIGER 200IT레버리지,17,LOCAL_COMPONENT_MICRO_L1,17,771476.6128504869,771013.7268827766,771000.0,769770.0,770824.2857142857,15.9660429525497,-0.41379310344827586,-14.149655767963491,-6.0,0.1780368143650668,-16.131060179758492,HOLD,WAIT,,,,,spread_too_wide,unrounded_raw_creation_unit_regression
