rebal_date,n_themes_selected,n_stocks_selected,filter_type,port_return,kospi_return,excess_return
20241119,2,14,전체,-0.007791944020747066,0.004182932502680092,-0.011974876523427158
20241120,2,9,전체,-0.005693250531782869,-0.0006687373352830539,-0.005024513196499815
20241121,2,4,-1%이하,-0.012966704982310014,0.008308373276143532,-0.021275078258453546
20241122,2,9,전체,0.024003092547011617,0.013233436215637218,0.010769656331374399
20241125,2,19,전체,0.007650260781412875,-0.005516229077392909,0.013166489858805783
20241126,2,1,-1%이하,-0.0032751091703056767,-0.006864098779539529,0.0035889896092338525
20241127,2,12,전체,-0.0035840897693317996,0.0006432127076458904,-0.0042273024769776905
20241128,2,1,-3%이하,-0.02043010752688172,-0.01946763445883104,-0.0009624730680506816
20241129,2,2,-3%이하,-0.005229686575494223,-0.0005822688942184184,-0.004647417681275805
20241202,2,1,-1%이하,0.051954732510288065,0.018586421563834277,0.03336831094645379
20241203,2,14,전체,-0.030909093181031227,-0.014439422423103032,-0.016469670757928195
20241204,2,1,-3%이하,-0.06234288587229764,-0.008989448051948123,-0.053353437820349514
20241205,2,4,-1%이하,-0.0452925194010719,-0.005606404979830892,-0.03968611442124101
20241206,2,5,-3%이하,-0.025579825084190357,-0.027831773853452813,0.002251948769262456
20241209,2,6,-3%이하,0.04825678379533826,0.024256750459632936,0.02400003333570532
20241210,2,13,전체,0.18344544665904536,0.010203321973331514,0.17324212468571384
20241211,2,13,전체,-0.013699636565417785,0.01621692439334943,-0.029916560958767213
20241212,2,17,전체,0.04440496301884118,0.004971556572607394,0.03943340644623378
20241213,2,27,전체,0.00514779113669399,-0.0022008771437506125,0.0073486682804446025
20241216,2,11,전체,0.0024404254345015354,-0.012921007485023894,0.01536143291952543
20241217,2,14,전체,0.011455878726818304,0.01124222060313973,0.00021365812367857458
20241218,2,1,-1%이하,-0.008557457212713936,-0.019521580402748318,0.010964123190034382
20241219,2,10,-3%이하,-0.02881895964144781,-0.013046351906663922,-0.015772607734783888
20241220,2,9,-3%이하,0.02365661602442423,0.015747769481937457,0.007908846542486771
20241223,2,36,전체,-0.006126869854816078,-0.0006101531115761949,-0.005516716743239883
20241224,2,5,-1%이하,-0.00542821322301523,-0.004445773851474266,-0.0009824393715409637
20241226,2,3,-1%이하,0.009318117943141862,-0.010248305325414653,0.019566423268556517
20241227,2,2,-3%이하,-0.013261569564664377,-0.0021956361731060303,-0.011065933391558347
20241230,2,25,전체,-0.011680681890265585,-0.00022921537493370003,-0.011451466515331885
20250102,2,12,전체,0.007436591660392487,0.017916246342134512,-0.010479654681742025
20250103,2,30,전체,0.01756400144808618,0.01913248591272443,-0.00156848446463825
