Strategy,Date,Country,Weight(%)
GDP (Prop),2003-03-31,Germany,6.9456
GDP (Prop),2003-03-31,Australia,1.3989
GDP (Prop),2003-03-31,Netherlands,1.5975
GDP (Prop),2003-03-31,Sweden,0.8828
GDP (Prop),2003-03-31,Denmark,0.6008
GDP (Prop),2003-03-31,Spain,2.4422
GDP (Prop),2003-03-31,Italy,4.0672
GDP (Prop),2003-03-31,Hong Kong,0.4542
GDP (Prop),2003-03-31,Singapore,0.2824
GDP (Prop),2003-03-31,Belgium,0.8659
GDP (Prop),2003-03-31,Finland,0.467
GDP (Prop),2003-03-31,Israel,0.3508
GDP (Prop),2003-03-31,Norway,0.6639
GDP (Prop),2003-03-31,Ireland,0.4373
GDP (Prop),2003-03-31,New Zealand,0.2201
GDP (Prop),2003-03-31,Austria,0.715
GDP (Prop),2003-03-31,Portugal,0.45
GDP (Prop),2003-03-31,China,4.1921
GDP (Prop),2003-03-31,India,1.6106
GDP (Prop),2003-03-31,Taiwan,0.9027
GDP (Prop),2003-03-31,Korea,2.0516
GDP (Prop),2003-03-31,Brazil,1.3229
GDP (Prop),2003-03-31,South Africa,0.5067
GDP (Prop),2003-03-31,Mexico,2.1987
GDP (Prop),2003-03-31,Indonesia,0.6485
GDP (Prop),2003-03-31,Malaysia,0.3161
GDP (Prop),2003-03-31,Thailand,0.4174
GDP (Prop),2003-03-31,Poland,0.5771
GDP (Prop),2003-03-31,Chile,0.1997
GDP (Prop),2003-03-31,Turkey,0.7704
GDP (Prop),2003-03-31,Greece,0.5012
GDP (Prop),2003-03-31,Philippines,0.2348
GDP (Prop),2003-03-31,Hungary,0.2136
GDP (Prop),2003-03-31,Egypt,0.2248
GDP (Prop),2003-03-31,Czech Republic,0.2748
GDP (Prop),2003-03-31,Colombia,0.2541
GDP (Prop),2003-03-31,Peru,0.1604
GDP (Prop),2003-06-30,USA,31.6347
GDP (Prop),2003-06-30,Japan,12.5363
GDP (Prop),2003-06-30,UK,5.6762
GDP (Prop),2003-06-30,France,5.1042
GDP (Prop),2003-06-30,Canada,2.4743
GDP (Prop),2003-06-30,Switzerland,1.0255
GDP (Prop),2003-06-30,Germany,7.0733
GDP (Prop),2003-06-30,Australia,1.4643
GDP (Prop),2003-06-30,Netherlands,1.6266
