"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 10- 10","345.21","347.02","347.55","344.82","172.69M","0.28%"
"2024- 10- 08","344.23","344.73","345.87","342.89","122.99M","-0.90%"
"2024- 10- 07","347.34","342.63","347.75","340.19","141.51M","1.64%"
"2024- 10- 04","341.74","341.09","344.29","339.88","127.72M","0.30%"
"2024- 10- 02","340.72","340.76","344.83","339.53","133.72M","-1.17%"
"2024- 09- 30","344.76","355.83","356.29","344.76","142.54M","-2.59%"
"2024- 09- 27","353.93","356.93","358.71","353.93","142.24M","-0.70%"
"2024- 09- 26","356.44","350.68","356.44","350.44","139.54M","3.45%"
"2024- 09- 25","344.56","352.51","354.09","344.56","156.60M","-1.44%"
"2024- 09- 24","349.61","347.19","349.61","344.75","122.75M","1.11%"
"2024- 09- 23","345.78","345.01","346.14","343.67","116.06M","0.32%"
"2024- 09- 20","344.67","346.77","348.89","344.54","171.81M","0.40%"
"2024- 09- 19","343.28","345.58","346.24","338.56","154.54M","-0.12%"
"2024- 09- 13","343.69","343.47","345.27","342.05","104.06M","-0.05%"
"2024- 09- 12","343.85","340.94","343.85","339.23","144.26M","2.44%"
"2024- 09- 11","335.65","338.08","338.32","332.72","124.65M","-0.84%"
"2024- 09- 10","338.48","340.68","341.50","338.15","104.43M","-0.50%"
"2024- 09- 09","340.18","335.79","341.44","334.57","99.15M","-0.64%"
"2024- 09- 06","342.37","346.14","346.25","340.08","107.60M","-1.03%"
"2024- 09- 05","345.92","348.96","351.36","344.09","139.08M","-0.21%"
"2024- 09- 04","346.66","348.19","351.04","346.30","138.92M","-3.38%"
"2024- 09- 03","358.80","362.00","363.87","358.80","105.62M","-0.91%"
"2024- 09- 02","362.09","362.57","363.10","358.39","100.65M","0.15%"
"2024- 08- 30","361.55","362.21","363.55","361.11","135.28M","0.40%"
"2024- 08- 29","360.10","359.58","361.59","358.23","121.37M","-1.42%"
"2024- 08- 28","365.28","364.76","365.40","362.06","119.87M","0.20%"
"2024- 08- 27","364.56","365.94","366.35","363.62","95.29M","-0.48%"
"2024- 08- 26","366.31","370.01","370.36","365.26","114.48M","-0.43%"
"2024- 08- 23","367.91","366.78","369.79","366.40","96.37M","-0.32%"
"2024- 08- 22","369.10","369.71","369.81","366.64","103.89M","0.24%"
"2024- 08- 21","368.22","367.09","369.02","366.53","107.34M","-0.21%"
"2024- 08- 20","368.99","369.39","370.67","367.64","105.94M","0.95%"
"2024- 08- 19","365.52","369.09","369.13","364.01","106.59M","-0.97%"
"2024- 08- 16","369.11","368.35","369.36","366.27","125.77M","2.42%"
"2024- 08- 14","360.39","361.11","362.07","358.88","103.71M","0.94%"
"2024- 08- 13","357.02","356.97","358.69","354.70","110.04M","0.40%"
"2024- 08- 12","355.61","353.64","356.60","353.25","98.13M","1.16%"
"2024- 08- 09","351.52","353.82","353.86","349.73","125.05M","1.39%"
"2024- 08- 08","346.70","343.26","348.89","341.56","159.52M","-0.68%"
"2024- 08- 07","349.09","340.91","352.72","340.08","159.27M","2.15%"
"2024- 08- 06","341.73","345.63","350.72","338.20","205.54M","2.97%"
"2024- 08- 05","331.86","355.28","355.28","324.52","263.54M","-9.12%"
"2024- 08- 02","365.17","371.76","372.84","363.89","155.24M","-4.04%"
"2024- 08- 01","380.54","383.68","384.54","380.47","123.74M","0.01%"
"2024- 07- 31","380.49","376.01","380.49","374.01","151.71M","1.50%"
"2024- 07- 30","374.87","375.39","376.47","373.54","139.03M","-1.02%"
"2024- 07- 29","378.73","376.85","380.44","375.87","146.38M","1.21%"
"2024- 07- 26","374.20","373.44","375.19","371.74","195.05M","0.79%"
