theme_no,테마명,등락률,평균등락률,상승종목수,보합종목수,하락종목수,Beta,베타조정수익률,코스피지수,코스피등락,코스피등락률,코스피조회시간
14,반도체 재료/부품,7.63,-2.34,62,0,4,0.786443,0.8980479199999998,"5,485.03",432.57,8.56,2026-04-01 15:07:25
229,스마트그리드(지능형전력망),7.61,-0.94,18,0,2,0.50188,3.3139072,"5,485.03",432.57,8.56,2026-04-01 15:07:25
326,3D 프린터,7.59,-2.21,10,0,1,0.358761,4.51900584,"5,485.03",432.57,8.56,2026-04-01 15:07:25
307,시스템반도체,7.57,-3.08,54,0,2,0.824204,0.5148137599999991,"5,485.03",432.57,8.56,2026-04-01 15:07:25
378,건설기계,7.5,0.12,16,0,0,0.410589,3.98535816,"5,485.03",432.57,8.56,2026-04-01 15:07:25
237,GTX(수도권 광역급행철도),7.46,-1.79,24,0,0,0.491396,3.25365024,"5,485.03",432.57,8.56,2026-04-01 15:07:25
173,IT 대표주,7.39,-1.94,6,0,0,0.903146,-0.34092976000000075,"5,485.03",432.57,8.56,2026-04-01 15:07:25
393,갤럭시 부품주,7.29,-1.88,35,1,3,0.551409,2.569938959999999,"5,485.03",432.57,8.56,2026-04-01 15:07:25
123,전력설비,7.24,-2.66,32,0,1,0.770416,0.6452390399999999,"5,485.03",432.57,8.56,2026-04-01 15:07:25
537,초전도체,7.15,-2.07,15,0,0,0.567394,2.2931073600000005,"5,485.03",432.57,8.56,2026-04-01 15:07:25
388,아이폰,7.1,-2.26,18,1,1,0.624797,1.7517376799999989,"5,485.03",432.57,8.56,2026-04-01 15:07:25
521,애플페이,6.99,-1.81,8,0,0,0.193589,5.33287816,"5,485.03",432.57,8.56,2026-04-01 15:07:25
401,원자력발전소 해체,6.96,-2.28,14,0,1,0.808677,0.03772487999999985,"5,485.03",432.57,8.56,2026-04-01 15:07:25
531,STO(토큰증권 발행),6.96,-2.06,25,0,0,0.620891,1.6451730399999995,"5,485.03",432.57,8.56,2026-04-01 15:07:25
349,드론(Drone),6.88,-2.08,27,0,2,0.531453,2.33076232,"5,485.03",432.57,8.56,2026-04-01 15:07:25
404,폴더블폰,6.79,-2.41,23,1,0,0.551849,2.066172559999999,"5,485.03",432.57,8.56,2026-04-01 15:07:25
18,전자파,6.7,-1.54,11,0,1,0.468353,2.6908983199999996,"5,485.03",432.57,8.56,2026-04-01 15:07:25
482,두나무(Dunamu),6.59,-1.1,11,0,0,0.593077,1.5132608799999998,"5,485.03",432.57,8.56,2026-04-01 15:07:25
576,퓨리오사AI,6.58,-1.43,11,0,0,0.558657,1.7978960800000001,"5,485.03",432.57,8.56,2026-04-01 15:07:25
213,해저터널(지하화/지하도로 등),6.49,-1.3,9,0,0,0.550928,1.7740563200000006,"5,485.03",432.57,8.56,2026-04-01 15:07:25
119,창투사,6.43,-0.52,20,0,0,0.368216,3.2780710399999995,"5,485.03",432.57,8.56,2026-04-01 15:07:25
524,모듈러주택,6.41,-1.23,10,0,0,0.402032,2.96860608,"5,485.03",432.57,8.56,2026-04-01 15:07:25
382,플렉서블 디스플레이,6.35,-2.35,22,1,2,0.633484,0.9273769599999993,"5,485.03",432.57,8.56,2026-04-01 15:07:25
279,스마트폰,6.33,-1.43,57,1,5,0.379963,3.0775167199999998,"5,485.03",432.57,8.56,2026-04-01 15:07:25
560,냉각시스템(액침냉각 등),6.32,-2.46,11,0,0,0.816544,-0.6696166400000001,"5,485.03",432.57,8.56,2026-04-01 15:07:25
348,삼성페이,6.31,-1.89,25,0,1,0.46179,2.3570775999999998,"5,485.03",432.57,8.56,2026-04-01 15:07:25
159,자동차 대표주,6.22,-1.79,7,0,0,0.510147,1.8531416799999993,"5,485.03",432.57,8.56,2026-04-01 15:07:25
250,철도,6.21,-1.71,39,1,1,0.35862,3.1402128,"5,485.03",432.57,8.56,2026-04-01 15:07:25
362,자율주행차,6.09,-1.78,51,0,7,0.542481,1.4463626399999994,"5,485.03",432.57,8.56,2026-04-01 15:07:25
534,페라이트,6.09,-0.74,13,0,1,0.261044,3.85546336,"5,485.03",432.57,8.56,2026-04-01 15:07:25
568,코리아 밸류업 지수(Korea Value-up Index),6.04,-1.68,93,0,6,0.542066,1.3999150399999998,"5,485.03",432.57,8.56,2026-04-01 15:07:25
33,LED,6.03,-1.81,37,0,2,0.455069,2.1346093600000002,"5,485.03",432.57,8.56,2026-04-01 15:07:25
41,카메라모듈/부품,5.97,-2.21,26,2,0,0.394954,2.5891937599999992,"5,485.03",432.57,8.56,2026-04-01 15:07:25
99,지능형로봇/인공지능(AI),5.94,-2.13,61,0,3,0.597165,0.8282676000000002,"5,485.03",432.57,8.56,2026-04-01 15:07:25
188,풍력에너지,5.9,-1.16,31,0,5,0.623109,0.5661869599999996,"5,485.03",432.57,8.56,2026-04-01 15:07:25
506,탈모 치료,5.86,-0.82,25,0,1,0.022729,5.66543976,"5,485.03",432.57,8.56,2026-04-01 15:07:25
17,SI(시스템통합),5.82,-1.76,30,0,0,0.46072,1.8762368,"5,485.03",432.57,8.56,2026-04-01 15:07:25
352,가상현실(VR),5.78,-2.0,26,1,2,0.468461,1.7699738399999996,"5,485.03",432.57,8.56,2026-04-01 15:07:25
543,의료AI,5.77,-1.87,29,0,1,0.174013,4.280448719999999,"5,485.03",432.57,8.56,2026-04-01 15:07:25
593,귀금속(금/은),5.76,-2.24,4,0,0,0.5,1.4799999999999995,"5,485.03",432.57,8.56,2026-04-01 15:07:25
392,스마트팩토리(스마트공장),5.73,-2.03,35,1,2,0.688181,-0.16082936000000014,"5,485.03",432.57,8.56,2026-04-01 15:07:25
185,정유,5.69,-1.62,3,0,0,0.656208,0.07285951999999973,"5,485.03",432.57,8.56,2026-04-01 15:07:25
205,원자력발전,5.69,-1.14,45,0,6,0.73439,-0.5963783999999999,"5,485.03",432.57,8.56,2026-04-01 15:07:25
184,수자원(양적/질적 개선),5.68,-0.46,25,0,2,0.401481,2.2433226399999997,"5,485.03",432.57,8.56,2026-04-01 15:07:25
317,SNS(소셜네트워크서비스),5.64,-1.9,9,0,1,0.363899,2.52502456,"5,485.03",432.57,8.56,2026-04-01 15:07:25
