code,name,n_obs,r_squared,beta_mkt,beta_fx_crisis,beta_fx_normal,beta_fx_stable,se_fx_crisis,se_fx_normal,se_fx_stable,tstat_fx_crisis,tstat_fx_normal,tstat_fx_stable,pval_fx_crisis,pval_fx_normal,pval_fx_stable,wald_f,wald_p
A192820,코스맥스,1466,0.09785422551129996,0.5968340304457935,-0.3004013683310234,-0.414336478268548,-0.5955696048675507,0.2414862060728084,0.3018478469720485,0.2947675070737266,-1.243969058176565,-1.3726666677430903,-2.0204723742450628,0.21351095102578765,0.16985599596309398,0.04333441287078154,0.7309120849570121,0.6938801398934543
A022100,포스코DX,1466,0.20044580092876874,1.1694356230394098,-0.18327322218501574,-0.6255361044781798,-0.21085086566881822,0.3562446845215849,0.3713959111844539,0.29587961399633705,-0.5144588260485643,-1.6842837673770377,-0.7126238365020596,0.6069312400728067,0.09212684098381885,0.4760785576943414,0.9445364572404291,0.623586226810092
A011170,롯데케미칼,1466,0.2267002823557973,0.8916100456584615,0.2373584195588897,-0.6709197717495478,-0.9605026173087292,0.21469848752232984,0.21676660155232794,0.5034588202331837,1.1055430445647787,-3.095125203536423,-1.9078077068226942,0.268924353551384,0.0019672983293665914,0.056416074317571244,11.972104676034844,0.0025135672038809525
A008770,호텔신라,1466,0.2500176456966329,0.6235516100279815,-0.1602436019985741,-0.7207656268854723,-0.787162017670343,0.18551305340245894,0.15731442943878446,0.24757344229493872,-0.8637861274965684,-4.581687957403442,-3.179509120096099,0.3877053899374143,4.6123778361117064e-06,0.0014752472701731448,7.1010364284614,0.0287097579934761
A006360,GS건설,1466,0.3255660405215163,0.9707651408693192,-0.011039593278542755,-0.4212415819566525,-0.6048103979613239,0.14594659113299205,0.2068159049419808,0.35408851526768637,-0.07564132325970574,-2.0367949074072698,-1.7080768561615023,0.9397044594130088,0.04167059886348587,0.08762208264421295,4.399646539396632,0.11082274236843145
A004370,농심,1466,0.03305115461644037,0.27953311297811106,0.4326820415693818,0.011151444618254921,0.0744466987823643,0.17743181690599558,0.1798214470705641,0.16153638412317456,2.438582037395352,0.06201398553910513,0.46086644310174285,0.014745011431983014,0.9505516945887833,0.6448944284647429,3.7871367441238117,0.1505336890911123
A457190,이수스페셜티케미컬,622,0.08739335553939376,1.0717614846628685,-0.24526093245865907,-1.4164920495706674,-1.9517178362261653,0.8950624329714386,0.7845406354007555,0.46255153297038404,-0.27401544677105816,-1.8055050123020095,-4.219460313303358,0.7840727510129459,0.07099569188354979,2.448878246660466e-05,3.5417446292936074,0.17018446965156625
A383220,F&F,1123,0.09161417022116536,0.4842140599597945,-0.3377012590541777,-0.37734475008454754,-1.0909598156474833,0.2047491631691476,0.26903378582255205,0.2838513780272371,-1.6493413395550514,-1.4025924250771786,-3.843419127395604,0.09907772500933727,0.16073841193460958,0.00012133199413412732,6.718884161954935,0.03475464381354712
A375500,DL이앤씨,1202,0.22068036684289905,0.8730893404773205,0.18985947269132789,-0.2665396660082512,-0.15651811965266646,0.1303468349143943,0.18761511113694035,0.21907677747493712,1.4565714067090214,-1.4206726973804567,-0.7144441389757639,0.14523472530259943,0.15541193335687828,0.4749525865694971,5.618489076588371,0.06025049214312053
A112610,씨에스윈드,1466,0.16862502384628286,0.966758781603683,-0.1330892969775342,-0.1381535728953275,-0.5305411754882912,0.17568380292255306,0.3053523732869824,0.3705084660847328,-0.7575501825640929,-0.4524398202907866,-1.4319272676672385,0.448720313139238,0.6509521657223823,0.152164637584284,1.0908760894246075,0.5795878423354992
