BaseDate,SellDate,leader,n_selected,n_priced,basket_return,win,top_codes,year
2007-07-06,2007-07-13,CP_MOM,10,10,0.06287947939841497,1,"A004990,A004000,A001230,A003240,A031980,A002240,A025860,A004020,A071050,A056190",2007
2007-07-13,2007-07-20,CP_V,10,10,0.03556828072535132,1,"A003470,A016580,A071050,A042700,A011930,A003550,A036460,A066570,A018880,A031980",2007
2007-07-20,2007-07-27,CP_S,10,5,-0.04836413955676402,0,"A084870,A000060,A056200,A007800,A006350,A036830,A031440,A000480,A033500,A005620",2007
2007-07-27,2007-08-03,CP_MOM,10,9,-0.026414839657421346,0,"A034830,A049770,A005380,A064960,A034230,A000640,A014820,A000270,A073240,A010130",2007
2007-08-03,2007-08-10,CP_S,10,10,-0.01165776869958791,0,"A047080,A001630,A000230,A016610,A054950,A023590,A000480,A004980,A009290,A030610",2007
2007-08-10,2007-08-17,CP_LV,10,6,-0.16992959331627513,0,"A003620,A056200,A024660,A036570,A004710,A022100,A036530,A006390,A045710,A005300",2007
2007-08-17,2007-08-24,CP_MOM,10,10,0.10573542063883894,1,"A017800,A007310,A011200,A004990,A005850,A002240,A000640,A058650,A002380,A010060",2007
2007-08-24,2007-08-31,CP_MOM,10,9,0.08614692962107924,1,"A001230,A012750,A010120,A000060,A029530,A008770,A020560,A004020,A011170,A018670",2007
2007-08-31,2007-09-07,CP_LV,10,8,-0.003588092399760323,0,"A008930,A003240,A033500,A003620,A004200,A045710,A016800,A005680,A003830,A005440",2007
2007-09-07,2007-09-14,CP_MOM,10,10,0.011559667101502125,1,"A000880,A000720,A034220,A015750,A066570,A051900,A002380,A032350,A028050,A006360",2007
2007-09-14,2007-09-21,CP_MOM,10,10,0.012543521450890105,1,"A002240,A035250,A012630,A000070,A033780,A035420,A036460,A010950,A000720,A034020",2007
2007-09-21,2007-09-28,CP_Q,10,9,0.014110015419488926,1,"A000020,A023410,A025560,A025540,A025000,A024660,A024110,A023590,A023530,A023160",2007
2007-09-28,2007-10-05,CP_MOM,10,10,0.052687934072100165,1,"A032350,A006280,A022100,A036930,A025860,A034220,A005830,A024110,A000100,A000670",2007
2007-10-05,2007-10-12,CP_G,10,7,0.04304177683637221,1,"A003000,A071050,A013240,A069620,A002380,A001450,A042700,A010120,A004200,A002550",2007
2007-10-12,2007-10-19,CP_LV,10,9,-0.03224475769206162,0,"A003520,A000990,A003830,A006730,A005740,A018670,A056200,A039130,A003300,A025560",2007
2007-10-19,2007-10-26,CP_MOM,10,10,0.017048648284305988,1,"A025860,A003690,A056190,A086280,A001120,A000810,A078930,A025900,A004000,A034120",2007
2007-10-26,2007-11-02,CP_G,10,10,0.03181390084282839,1,"A018880,A006650,A056190,A003300,A002990,A020560,A000070,A096770,A005380,A036830",2007
2007-11-02,2007-11-09,CP_LV,10,8,0.044805845650430526,1,"A003640,A041960,A004800,A056200,A001680,A036460,A014790,A006650,A003830,A005810",2007
2007-11-09,2007-11-16,CP_V,10,9,-0.033588053154405176,0,"A015940,A047080,A016380,A013570,A001940,A006840,A005440,A011790,A001060,A005680",2007
2007-11-16,2007-11-23,CP_LV,10,10,-0.10393055179967434,0,"A002350,A086280,A004020,A001430,A003230,A006730,A010130,A000700,A004150,A031440",2007
2007-11-23,2007-11-30,CP_G,10,8,0.09572601578871434,1,"A003600,A016360,A034230,A003570,A037620,A002990,A003030,A001470,A036530,A006800",2007
2007-11-30,2007-12-07,CP_V,10,9,0.05029811138392905,1,"A011930,A047080,A033240,A005990,A005380,A004690,A000240,A001230,A005930,A003600",2007
2007-12-07,2007-12-14,CP_LV,10,6,-0.058822050617174215,0,"A093050,A010140,A000480,A010780,A065610,A011000,A002000,A005740,A004010,A001370",2007
2007-12-14,2007-12-21,CP_V,10,9,-0.04592661720165703,0,"A011170,A036530,A006260,A017390,A001440,A088960,A003550,A000230,A011780,A005490",2007
2007-12-21,2007-12-28,CP_S,10,8,0.05360403989772766,1,"A093370,A036490,A025860,A003120,A016880,A022100,A023590,A010060,A004550,A015860",2007
2007-12-28,2008-01-04,CP_MOM,10,10,-0.006429260497479239,0,"A023160,A006800,A003300,A004990,A025540,A001040,A003540,A005940,A093370,A006360",2007
2008-01-04,2008-01-11,CP_S,10,9,-0.018043304088563708,0,"A036530,A064960,A003530,A008000,A006650,A033500,A023160,A039130,A018000,A017940",2008
2008-01-11,2008-01-18,CP_LV,10,9,-0.02087326073210512,0,"A005300,A004990,A003830,A003240,A025560,A004690,A035250,A004130,A036570,A003230",2008
2008-01-18,2008-01-25,CP_Q,10,10,0.009552442328914935,1,"A000020,A023160,A025560,A025540,A025000,A024110,A023590,A023530,A023410,A022100",2008
2008-01-25,2008-02-01,CP_Q,10,10,-0.05610890635227815,0,"A000020,A023160,A025560,A025540,A025000,A024110,A023590,A023530,A023410,A022100",2008
2008-02-01,2008-02-05,CP_S,10,7,0.12922123977757968,1,"A008000,A046890,A014620,A003940,A015860,A014940,A011810,A006120,A089480,A011790",2008
2008-02-05,2008-02-15,CP_G,10,8,-0.027856864787992264,0,"A003300,A015760,A042700,A003030,A006280,A002270,A055550,A011780,A011160,A017390",2008
