BaseDate,SellDate,leader,status,basket_return,year,win
2015-11-20,2015-11-27,CP_G,skip,0.0,2015,0
2015-11-27,2015-12-04,CP_MOM,traded,-0.044431045193988064,2015,0
2015-12-04,2015-12-11,CP_LV,traded,-0.025047877115708904,2015,0
2015-12-11,2015-12-18,CP_S,traded,0.01562622937418802,2015,1
2015-12-18,2015-12-24,CP_V,traded,0.024125936696105237,2015,1
2015-12-24,2015-12-30,CP_G,skip,0.0,2015,0
2015-12-30,2016-01-08,CP_MOM,traded,0.04229934089973695,2015,1
2016-01-08,2016-01-15,CP_Q,skip,0.0,2016,0
2016-01-15,2016-01-22,CP_MOM,traded,0.00983760955679477,2016,1
2016-01-22,2016-01-29,CP_V,traded,0.05444400021643061,2016,1
2016-01-29,2016-02-05,CP_LV,traded,0.020198113212524217,2016,1
2016-02-05,2016-02-12,CP_V,traded,-0.050042389958436004,2016,0
2016-02-12,2016-02-19,CP_S,traded,0.058503985035181005,2016,1
2016-02-19,2016-02-26,CP_S,traded,0.007369069066074298,2016,1
2016-02-26,2016-03-04,CP_V,traded,0.05054764789955737,2016,1
2016-03-04,2016-03-11,CP_S,traded,0.03171558162356033,2016,1
2016-03-11,2016-03-18,CP_V,traded,-7.18565985706836e-05,2016,0
2016-03-18,2016-03-25,CP_LV,traded,-0.01611439212197796,2016,0
2016-03-25,2016-04-01,CP_MOM,traded,0.003380765481827943,2016,1
2016-04-01,2016-04-08,CP_V,traded,0.018286043578704392,2016,1
2016-04-08,2016-04-15,CP_V,traded,0.06597044849530476,2016,1
2016-04-15,2016-04-22,CP_S,traded,0.013256663848068874,2016,1
2016-04-22,2016-04-29,CP_LV,traded,-0.01674170671755465,2016,0
2016-04-29,2016-05-04,CP_Q,skip,0.0,2016,0
2016-05-04,2016-05-13,CP_MOM,traded,0.008728447730745116,2016,1
2016-05-13,2016-05-20,CP_MOM,traded,0.03808908993770449,2016,1
2016-05-20,2016-05-27,CP_V,traded,0.013424461881437168,2016,1
2016-05-27,2016-06-03,CP_G,skip,0.0,2016,0
2016-06-03,2016-06-10,CP_V,traded,0.009833482630597969,2016,1
2016-06-10,2016-06-17,CP_MOM,traded,-0.07505127660040248,2016,0
2016-06-17,2016-06-24,CP_LV,traded,-0.03636657369980042,2016,0
2016-06-24,2016-07-01,CP_S,traded,0.06628391102351328,2016,1
2016-07-01,2016-07-08,CP_S,traded,0.006701662117089415,2016,1
2016-07-08,2016-07-15,CP_V,traded,0.02780128430290703,2016,1
2016-07-15,2016-07-22,CP_V,traded,0.004434707747671575,2016,1
2016-07-22,2016-07-29,CP_V,traded,0.027206772726816285,2016,1
2016-07-29,2016-08-05,CP_LV,traded,-0.011365342993583126,2016,0
2016-08-05,2016-08-12,CP_G,skip,0.0,2016,0
2016-08-12,2016-08-19,CP_MOM,traded,0.01534808654536717,2016,1
2016-08-19,2016-08-26,CP_LV,traded,-0.011278833002846553,2016,0
2016-08-26,2016-09-02,CP_V,traded,-0.0005229910909749207,2016,0
2016-09-02,2016-09-09,CP_V,traded,0.0029862325783147755,2016,1
2016-09-09,2016-09-13,CP_G,skip,0.0,2016,0
2016-09-13,2016-09-23,CP_G,skip,0.0,2016,0
2016-09-23,2016-09-30,CP_V,traded,-0.03456640779577489,2016,0
2016-09-30,2016-10-07,CP_LV,traded,-0.010174708976726475,2016,0
2016-10-07,2016-10-14,CP_V,traded,0.007311742327176176,2016,1
2016-10-14,2016-10-21,CP_V,traded,-0.0003419858978591522,2016,0
2016-10-21,2016-10-28,CP_LV,traded,-0.0056968887027528765,2016,0
2016-10-28,2016-11-04,CP_S,traded,-0.061104556242661104,2016,0
2016-11-04,2016-11-11,CP_V,traded,0.03472551246687341,2016,1
2016-11-11,2016-11-18,CP_LV,traded,-0.03182271102607204,2016,0
2016-11-18,2016-11-25,CP_LV,traded,-0.0024950346795639105,2016,0
2016-11-25,2016-12-02,CP_LV,traded,0.007442216933898451,2016,1
2016-12-02,2016-12-09,CP_S,traded,0.03278566512567425,2016,1
2016-12-09,2016-12-16,CP_S,traded,0.059879576752183694,2016,1
2016-12-16,2016-12-23,CP_V,traded,0.010734315582990364,2016,1
2016-12-23,2016-12-29,CP_G,skip,0.0,2016,0
2016-12-29,2017-01-06,CP_S,traded,0.022921551761817115,2016,1
2017-01-06,2017-01-13,CP_LV,traded,-0.0024572777550342134,2017,0
2017-01-13,2017-01-20,CP_LV,traded,-0.00974713892048069,2017,0
2017-01-20,2017-01-26,CP_G,skip,0.0,2017,0
2017-01-26,2017-02-03,CP_LV,traded,0.013780460372396311,2017,1
2017-02-03,2017-02-10,CP_V,traded,0.018226826068209814,2017,1
2017-02-10,2017-02-17,CP_S,traded,0.02830648898508853,2017,1
2017-02-17,2017-02-24,CP_LV,traded,0.014577580307857408,2017,1
2017-02-24,2017-03-03,CP_MOM,traded,-0.003996599744130389,2017,0
2017-03-03,2017-03-10,CP_S,traded,0.052409284045698154,2017,1
2017-03-10,2017-03-17,CP_V,traded,0.025282394203916973,2017,1
2017-03-17,2017-03-24,CP_LV,traded,0.020665733004909335,2017,1
2017-03-24,2017-03-31,CP_S,traded,0.013010876704881836,2017,1
2017-03-31,2017-04-07,CP_Q,skip,0.0,2017,0
2017-04-07,2017-04-14,CP_Q,skip,0.0,2017,0
2017-04-14,2017-04-21,CP_LV,traded,0.013304783680378664,2017,1
2017-04-21,2017-04-28,CP_V,traded,0.006603252493714398,2017,1
2017-04-28,2017-05-04,CP_G,skip,0.0,2017,0
2017-05-04,2017-05-12,CP_LV,traded,0.013999690909838417,2017,1
2017-05-12,2017-05-19,CP_MOM,traded,0.007871091882813343,2017,1
