code,name,s_score,confidence,news_count,analyst_count,summary
003465,유화증권우,0.0,0.0,0,0,no overnight inputs
003470,유안타증권,40.0,0.7,8,0,heuristic pos=2 neg=0
003475,유안타증권우,0.0,0.0,0,0,no overnight inputs
003480,한진중공업홀딩스,0.0,0.0,0,0,no overnight inputs
003490,대한항공,0.0,0.7,8,0,heuristic pos=0 neg=0
003495,대한항공우,0.0,0.0,0,0,no overnight inputs
003520,영진약품,0.0,0.0,0,0,no overnight inputs
003530,한화투자증권,-20.0,0.6000000000000001,5,0,heuristic pos=1 neg=2
003535,한화투자증권우,0.0,0.0,0,0,no overnight inputs
003540,대신증권,0.0,0.7,8,0,heuristic pos=1 neg=1
003545,대신증권우,0.0,0.0,0,0,no overnight inputs
003547,대신증권2우B,0.0,0.0,0,0,no overnight inputs
003550,LG,0.0,0.7,8,0,heuristic pos=0 neg=0
003555,LG우,0.0,0.0,0,0,no overnight inputs
003570,SNT다이내믹스,0.0,0.0,0,0,no overnight inputs
003580,HLB글로벌,0.0,0.0,0,0,no overnight inputs
003610,방림,0.0,0.0,0,0,no overnight inputs
003620,KG모빌리티,0.0,0.44,3,0,heuristic pos=0 neg=0
003650,미창석유,0.0,0.0,0,0,no overnight inputs
003670,포스코퓨처엠,0.0,0.0,0,0,no overnight inputs
003680,한성기업,0.0,0.0,0,0,no overnight inputs
003690,코리안리,0.0,0.52,4,0,heuristic pos=0 neg=0
003720,삼영,0.0,0.0,0,0,no overnight inputs
003780,진양산업,0.0,0.0,0,0,no overnight inputs
003830,대한화섬,0.0,0.0,0,0,no overnight inputs
003850,보령,0.0,0.0,0,0,no overnight inputs
