종목코드,종목명,종가,대비,등락률,순자산가치(NAV),시가,고가,저가,거래량,거래대금,시가총액,순자산총액,상장좌수,기초지수_지수명,기초지수_종가,기초지수_대비,기초지수_등락률
"266390","KODEX 경기소비재","10540","-1360","-11.43","10495.58","11450","11625","10000","558831","6047076514","11594000000","11545141833","1100000","KRX 경기소비재","1191.17","-166.46","-12.26"
"279530","KODEX 고배당주","16390","-2020","-10.97","16432.78","17910","17910","16200","1839119","31280258869","337634000000","341801893622","20600000","FnGuide 고배당 Plus 지수","25122.60","-3093.15","-10.96"
"132030","KODEX 골드선물(H)","29345","-1020","-3.36","29182.06","29280","29660","29170","527946","15520548524","481258000000","478585767508","16400000","S&P GSCI Gold Index(TR)","2513.77","5.64","0.22"
"280940","KODEX 골드선물인버스(H)","2880","60","2.13","2936.13","2885","2905","2855","29929","86343279","3024000000","3082933380","1050000","S&P GSCI GOLD Index Excess Return","309.42","0.66","0.21"
"138910","KODEX 구리선물(H)","9200","-95","-1.02","9116.54","9130","9265","9100","450271","4139382329","57960000000","56522531655","6300000","S&P GSCI North American Copper Index(TR)","827.58","11.50","1.41"
"471230","KODEX 국고채10년액티브","107445","-360","-0.33","107407.49","107605","108140","107370","129840","13997102435","486188625000","489455940062","4525000","KAP 국고채 10년 지수(TR)","112.49","-0.21","-0.19"
"439870","KODEX 국고채30년액티브","103480","95","0.09","103586.70","103000","104330","102900","41282","4291182804","354108560000","353541395512","3422000","KAP 국고채 30년 총수익 지수","92.57","0.43","0.47"
"114260","KODEX 국고채3년","61690","-110","-0.18","61702.45","61760","61885","61600","126876","7838730996","514124460000","517189957160","8334000","MKF 국고채지수(총수익)","203.99","-0.24","-0.12"
"152380","KODEX 국채선물10년","67015","-245","-0.36","67006.40","67165","67485","66995","11060","744135980","40209000000","40203837925","600000","10년국채선물지수","1176.68","-2.43","-0.21"
"176950","KODEX 국채선물10년인버스","57415","130","0.23","57466.97","57345","57415","57210","225","12895915","13435110000","13447272013","234000","10년국채선물지수","1176.68","-2.43","-0.21"
"292770","KODEX 국채선물3년인버스","56765","130","0.23","56781.99","0","0","0","0","0","22478940000","22485666188","396000","국채선물지수","1215.72","-1.62","-0.13"
"276990","KODEX 글로벌로봇(합성)","25135","-1035","-3.95","25587.18","25645","25715","25000","40595","1031799756","44111925000","44905508923","1755000","ROBO Global Robotics & Automation UCITS Price Return Index","1222.23","-14.97","-1.21"
"476070","KODEX 글로벌비만치료제TOP2 Plus","10570","-250","-2.31","10745.16","10585","10800","10520","75907","806120377","45451000000","46204196243","4300000","iSelect 글로벌 비만치료제TOP2 Plus 지수(PR)","2893.78","44.39","1.56"
"0064K0","KODEX 금액티브","15925","-425","-2.60","15817.12","15940","16120","15800","1123521","17906565841","294771750000","292774875080","18510000","Bloomberg Gold Spot NY 4pm USD Index","4384.92","31.83","0.73"
"0089D0","KODEX 금융고배당TOP10","12150","-1445","-10.63","12220.28","13120","13145","11830","1370056","17164271270","222345000000","221187139670","18300000","코스피 200 금융 고배당 TOP 10 지수","2504.14","-289.53","-10.36"
"498410","KODEX 금융고배당TOP10타겟위클리커버드콜","12120","-1275","-9.52","12168.20","12950","13310","11965","4410721","55083775925","558732000000","560953894383","46100000","코스피 200 금융 고배당 TOP 10 타겟 15%분배 위클리 커버드콜 지수","1106.31","-121.22","-9.88"
"0162M0","KODEX 금융채1~2년(AA-이상)PLUS액티브","9990","-10","-0.10","9996.57","10010","10020","9990","1671","16708070","139860000000","139952029536","14000000","KAP 금융채 1-2년 총수익 지수","118.11","-0.01","-0.01"
"102960","KODEX 기계장비","14280","-2590","-15.35","14294.23","16090","16285","14100","115733","1755477332","17707200000","17724841273","1240000","KRX 기계장비","1544.48","-283.08","-15.49"
"404260","KODEX 기후변화솔루션","19360","-3275","-14.47","19433.55","21605","22080","19245","15659","324386788","17424000000","17490192695","900000","KRX 기후변화 솔루션지수","3719.60","-636.60","-14.61"
"273140","KODEX 단기변동금리부채권액티브","114795","15","0.01","114784.06","114785","114800","114785","7697","883574280","324869850000","324838899828","2830000","KAP 단기변동금리부은행채권지수","146.68","-0.01","-0.01"
"153130","KODEX 단기채권","113390","-25","-0.02","113392.52","113415","113415","113375","27271","3092406973","767196740000","746009368188","6766000","KRW Cash 지수(총수익)","173.08","0.00","0.00"
"214980","KODEX 단기채권PLUS","114835","-20","-0.02","114851.65","114850","114855","114835","69168","7943412732","2053249800000","2048034660003","17880000","KRW Cash PLUS 지수(총수익)","167.93","0.01","0.01"
"487950","KODEX 대만테크고배당다우존스","10000","-350","-3.38","10334.50","10445","10445","9865","27320","275391060","13000000000","13434849774","1300000","Dow Jones Taiwan Technology Dividend 30 Index(TWD)(PR)","2774.70","-86.58","-3.03"
"122630","KODEX 레버리지","70500","-22695","-24.35","71138.01","85140","90280","69655","53684342","4220464368634","4071375000000","4378544409829","57750000","코스피 200","756.79","-102.61","-11.94"
"445290","KODEX 로봇액티브","29740","-5635","-15.93","29958.98","34940","34945","29365","3620333","116403597470","910044000000","919740649744","30600000","iSelect K-로봇테마 지수","3444.43","-634.24","-15.55"
