종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"122640","예스티","KOSDAQ","기계·장비","21600","-700","-3.14","461156133600"
"476040","오가노이드사이언스","KOSDAQ","일반서비스","24100","-6450","-21.11","158716816000"
"900300","오가닉티코스메틱","KOSDAQ","금융","120","1","0.84","30120585120"
"045060","오공","KOSDAQ","화학","2170","-155","-6.67","36764083580"
"192410","오늘이엔엠","KOSDAQ","전기·전자","1162","0","0.00","54220747826"
"080520","오디텍","KOSDAQ","전기·전자","2720","-315","-10.38","30796974240"
"039830","오로라","KOSDAQ","일반서비스","10990","-1990","-15.33","118284161100"
"322310","오로스테크놀로지","KOSDAQ","기계·장비","23550","-3600","-13.26","220582064100"
"046120","오르비텍","KOSDAQ","일반서비스","4655","-995","-17.61","153131452565"
"475830","오름테라퓨틱","KOSDAQ","제약","104000","-30200","-22.50","2208166272000"
"014940","오리엔탈정공","KOSDAQ","기계·장비","6200","-1210","-16.33","282556698200"
"065500","오리엔트정공","KOSDAQ","운송장비·부품","2275","-375","-14.15","72215124800"
"010470","오리콤","KOSDAQ","일반서비스","5470","-370","-6.34","65503523500"
"417860","오브젠","KOSDAQ","IT 서비스","7500","-1060","-12.38","35226795000"
"352910","오비고","KOSDAQ","IT 서비스","4155","-495","-10.65","52510067310"
"053980","오상자이엘","KOSDAQ","IT 서비스","3095","-220","-6.64","58751713385"
"036220","오상헬스케어","KOSDAQ","의료·정밀기기","9140","-860","-8.60","132616062240"
"052420","오성첨단소재","KOSDAQ","화학","1270","-178","-12.29","119920616140"
"052300","오션인더블유","KOSDAQ","유통","2030","-95","-4.47","34236240290"
"039200","오스코텍","KOSDAQ","제약","46500","-9200","-16.52","1779005184000"
"226400","오스테오닉","KOSDAQ","의료·정밀기기","5670","-580","-9.28","117151277670"
"031510","오스템","KOSDAQ","운송장비·부품","1038","15","1.47","29064000000"
"342870","오아","KOSDAQ","유통","6160","-710","-10.33","38488382240"
"368970","오에스피","KOSDAQ","음식료·담배","1641","-80","-4.65","15337048560"
"138080","오이솔루션","KOSDAQ","전기·전자","17500","-3950","-18.41","210178885000"
"080580","오킨스전자","KOSDAQ","전기·전자","12810","-1990","-13.45","263644864560"
"067170","오텍","KOSDAQ","운송장비·부품","1689","-171","-9.19","40352920845"
"353590","오토앤","KOSDAQ","유통","2500","-380","-13.19","32188925000"
"173130","오파스넷","KOSDAQ","IT 서비스","6740","-410","-5.73","87933228020"
"440320","오픈놀","KOSDAQ","IT 서비스","3185","-525","-14.15","31308550000"
"049480","오픈베이스","KOSDAQ","IT 서비스","1926","-309","-13.83","60519509658"
"394280","오픈엣지테크놀로지","KOSDAQ","IT 서비스","11900","-2750","-18.77","312692194500"
"476060","온코닉테라퓨틱스","KOSDAQ","일반서비스","17300","-3250","-15.82","776559632000"
